Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast
1,2,2,87.1,0.73253,3
1,1,1,61.8,0.69812,2
1,1,2,70,1.1128,1
1,1,1,70.2,0.67841,3
1,2,2,63.3,1.0877,3
1,2,2,61.8,0.7649,3
1,1,1,67.6,2.472,1
1,1,2,80.8,0.62221,1
1,2,2,77.6,0.76052,3
1,1,2,60.4,0.7652,2
1,1,2,83.6,0.63391,2
1,1,1,70,0.89097,3
1,1,1,63.8,1.0501,3
1,2,2,59.1,2.2345,3
1,2,2,71,0.77815,3
1,2,2,78,0.78034,3
1,1,2,70.7,0.59279,2
1,1,2,69.6,0.71514,1
1,1,1,77.5,0.55329,2
1,1,2,58.4,0.82345,2
1,2,2,83.5,0.713,2
1,2,2,86.5,0.9671,1
1,2,2,70.7,0.73036,2
1,1,1,69.2,0.59875,3
1,1,2,76.3,0.68304,1
1,1,1,59.8,1.2586,3
1,2,2,77.9,0.73141,2
1,2,2,84.1,0.7852,2
1,2,2,83.3,0.62745,2
1,2,2,78.2,0.66928,1
1,1,1,79.2,0.6698,3
1,1,2,69,0.89343,2
1,2,2,63.1,2.2839,1
1,1,2,66.5,0.74522,2
1,2,2,75.8,0.74292,1
1,1,2,50.2,2.7872,3
1,2,2,66.1,0.99713,1
1,1,1,68.7,0.6354,2
1,2,2,73.9,0.51096,2
1,2,2,71,0.54787,1
1,1,1,85,0.58535,2
1,1,2,73.3,0.56391,1
1,2,2,83.4,0.59404,2
1,1,1,57.2,0.82745,3
1,2,2,66.6,0.49336,2
1,2,2,72.8,0.58167,3
1,2,2,69.4,0.57682,3
1,1,1,74.8,0.55534,2
1,2,2,70.5,0.70453,3
1,2,2,91.6,0.54244,2
1,1,1,66,0.58199,3
1,2,2,74.9,0.54431,3
1,2,2,61.5,0.74985,3
1,2,2,76.3,0.57787,1
1,1,2,62.9,0.67854,3
1,2,2,74.7,0.59078,3
1,2,2,82.4,0.85641,1
1,1,1,64.7,0.75185,2
1,1,1,73.9,0.62881,3
1,1,1,81.4,0.75038,2
1,1,2,91.8,0.65139,2
1,1,1,71.7,0.54118,3
1,1,2,66.6,0.65759,1
1,2,2,75.8,0.58662,1
1,2,1,71.5,0.66116,2
1,1,2,70.4,0.59857,2
1,2,2,70.4,0.53578,1
1,1,1,70.2,0.54877,1
1,2,2,64.4,0.61803,3
1,2,2,75.1,0.58983,1
1,2,1,65.7,0.71311,2
1,2,2,66.9,0.66977,2
1,1,1,68,0.75859,1
